20/06/2020 11:39:51:347760: <socket.socket fd=668, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53461), raddr=('127.0.0.1', 40001)>: LOGIN asd asd
20/06/2020 11:40:11:824335: <socket.socket fd=668, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53461), raddr=('127.0.0.1', 40001)>: LOGIN a a
20/06/2020 11:40:13:635901: <socket.socket fd=668, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53461), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 11:40:13:636897: <socket.socket fd=668, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53461), raddr=('127.0.0.1', 40001)>: GET_BALANCE
20/06/2020 11:40:13:637894: <socket.socket fd=668, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53461), raddr=('127.0.0.1', 40001)>: MY_COUPONS
20/06/2020 11:45:03:012755: <socket.socket fd=660, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53471), raddr=('127.0.0.1', 40001)>: REGISTER asdasd sadsadsad sadasdasda aaaaa
20/06/2020 11:45:08:553735: <socket.socket fd=660, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53471), raddr=('127.0.0.1', 40001)>: LOGIN a a
20/06/2020 11:45:10:480220: <socket.socket fd=660, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53471), raddr=('127.0.0.1', 40001)>: WON_LIST
20/06/2020 11:45:10:480220: <socket.socket fd=660, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53471), raddr=('127.0.0.1', 40001)>: GET_BALANCE
20/06/2020 11:45:10:480220: <socket.socket fd=660, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53471), raddr=('127.0.0.1', 40001)>: MY_COUPONS
20/06/2020 11:45:14:301655: <socket.socket fd=660, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53471), raddr=('127.0.0.1', 40001)>: MY_COUPONS
20/06/2020 11:45:14:301655: <socket.socket fd=660, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53471), raddr=('127.0.0.1', 40001)>: GET_BALANCE
20/06/2020 11:45:21:594450: <socket.socket fd=660, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53471), raddr=('127.0.0.1', 40001)>: ADD_BALANCE 12
20/06/2020 11:45:31:593071: <socket.socket fd=660, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53471), raddr=('127.0.0.1', 40001)>: COUPON_BUY 1&2&3&4&5&6
20/06/2020 11:45:35:558925: <socket.socket fd=660, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53471), raddr=('127.0.0.1', 40001)>: MY_COUPONS
20/06/2020 11:45:35:558925: <socket.socket fd=660, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53471), raddr=('127.0.0.1', 40001)>: GET_BALANCE
20/06/2020 11:45:38:838889: <socket.socket fd=660, family=AddressFamily.AF_INET, type=SocketKind.SOCK_STREAM, proto=0, laddr=('127.0.0.1', 53471), raddr=('127.0.0.1', 40001)>: WON_LIST
